user,repo,type,orcount
qunarcorp,bistoury.git,pom.xml,16905424996341287853948635504810171135279832203165154802530830756039279194222407894031939343534795205498039331239277508376039279320639471554056372444453213961687823344916278409416690009126057856063365779414976004792544265488338857506039042178582243746736568074136115478528
lzyzsd,CircleProgress.git,build.gradle,0
rovo89,XposedInstaller.git,build.gradle,0
eclipse,jetty.project.git,pom.xml,3823270468302941842002024607450357925570988358965049940637212348182481112238841970382500562484312209993906603845671152530067008251943594856632435915174654487343848152661108436086627704414761937448631028079914668669288997834731952713532938272708515418381387519781690420096012050676918170103181501167342052591597212417657339926304404019276052173366
liuyubobobo,Play-with-Algorithms.git,,0
lsjwzh,RecyclerViewPager.git,build.gradle,0
apache,kylin.git,pom.xml,605821387997385992314971536822756883462120737411241863499160754114175266071737498921622073032471442398749973264730592196097654068616587523093165777713515901125436029014462287334536622313055390718264191012561883442753663493599868078606694201244374550512012857773318009533279098487364024856631396769852750165954926791950713539364271002187337763009131462482588919659561291350864
xcc3641,SeeWeather.git,build.gradle,0
alibaba,Alink.git,pom.xml,5721821234568844768301644664755994523001017257593455177234789116343839292464980949155521731924144349600641482416723819000486714899730025373355783512592071244937306001974750224073759141595770388543843036082726151412235681651261021155341542854693679841108100278261893914526340749701717244618925684602204304572365006731201121478514202065165100908781783252391376994226628227694132502243891340510232640
iammert,ScalingLayout.git,build.gradle,0
shopizer-ecommerce,shopizer.git,pom.xml,98300140298404310526866608356384083101308615288514352627800664692391578166223444960273297503394632605977865136706563619426219046245902003355079288315169409238071148655593085453041922063278412217150201296056542404263674099972063275612870258376656073889225255056094691181747372644003280062866674002080751262976905927198470659287368752813275517198961051345670441410140638850786860486207486057498169831384420352
bluelinelabs,LoganSquare.git,build.gradle,0
zzz40500,GsonFormat.git,build.gradle,0
amulyakhare,TextDrawable.git,build.gradle,0
java8,Java8InAction.git,pom.xml,69776517532378261492735085557248435297949570691167685029726613881931633687986301792961329465831262314189696453541754674046096354215723008
coderbruis,JavaSourceCodeLearning.git,pom.xml,98336138890663287327266056928320862274065154451268056342798407809867105468511767334431762111382521683416736602490926163565685176575654951877019368761546514509617842455705959229813069703766386649698144557901824557766582522849755966816160030333099797141072388665465213180542664062824517676212576798130123197532271826601282462964121205898284016324048495712545150503281307829893361133605980612988694373383274496
Marswin,MarsDaemon.git,build.gradle,0
florent37,ShapeOfView.git,build.gradle,0
ZieIony,Carbon.git,build.gradle,0
rom1v,sndcpy.git,build.gradle,0
bmelnychuk,AndroidTreeView.git,build.gradle,0
janishar,android-mvvm-architecture.git,build.gradle,0
BruceEckel,OnJava8-Examples.git,build.gradle,0
googlearchive,android-Camera2Basic.git,build.gradle,0
getActivity,Toaster.git,build.gradle,0
YahooArchive,anthelion.git,pom.xml,6094608698855820169208998093730552683013439157766062267758241516495557380450661950986524149092191033114859436455879379181527379503939771880282083651957812600717700626267484222812447574239898196418802491971585138241683469887618623876298139843773402632310621495001664555550154115687333147413989481645168061169026949265584638170403827979981253332908070451322590914087355874193268027730805833066220731013131141120
jiangqqlmj,FastDev4Android.git,pom.xml,6291208979464072432731868999979925349596714021728892913174866709742813108519207821125964557019952122852691339213833838100046147104189596394730103880068026440749480080110163304194470347637900703521113053564595957334605641872770074202849514575992257434465104145826262264907879601605158533840723639727634919804506718310560474223288728637429021579332163811720415758373390348177415230872651171681571283640988467264
Teevity,ice.git,,0
spring-projects,spring-data-elasticsearch.git,pom.xml,824588760938355973758166069827368816192002408137329250260360633356408591758366416670301915909774903471002418367791253651690625394056655210417681026573063429431350268922806524290236177981016444378435882115915940260665195305864333658078213047439876004702074693427217593663284449752669554879110102203606094436409327281194341553518975669644852878599196304144650472095440368048578080547853353347258667418896914028953600
FinalTeam,RxGalleryFinal.git,build.gradle,0
JulienGenoud,android-percent-support-lib-sample.git,build.gradle,0
williamfiset,DEPRECATED-data-structures.git,build.gradle,0
wenmingvs,AndroidProcess.git,build.gradle,0
oguzbilgener,CircularFloatingActionMenu.git,build.gradle,0
florent37,ViewAnimator.git,build.gradle,0
siyamed,android-shape-imageview.git,build.gradle,0
bingoogolapple,BGABadgeView-Android.git,build.gradle,0
qii,weiciyuan.git,build.gradle,0
CJT2325,CameraView.git,build.gradle,0
OpenHFT,Chronicle-Map.git,pom.xml,864656379378639878147811974778041987606254922004127831483079013901427604329674903339804954066394649298765326012570363802128871413545279932789385863104169278484053290582026632207303912640675306123909228151016004006470217343293621861294600726465700678808934347340656817163850870163131282461357105411037319675855500934358519328037125243406777052403835006278317775902769984294493662385407708040885767402253749739415045931072
bm-x,PhotoView.git,build.gradle,0
SimonVT,android-menudrawer.git,build.gradle,0
vdurmont,emoji-java.git,pom.xml,864657178211240404648025256405720846783818455563281034420205798496028398554332956273440247714488837386520391256147264584459031369765738085686021174392229983121596588995019922312631453199503119194585244637761932924925737124655565067481056494708023735155249700833105139359562050753324857521873082915690211964700112202192691226600615911917872099951528083562919701589974805653832722908571034116144674371598029328957149544448
katzer,cordova-plugin-local-notifications.git,,0
SufficientlySecure,html-textview.git,build.gradle,0
pwittchen,ReactiveNetwork.git,build.gradle,0
romainguy,ViewServer.git,build.gradle,0
nico2sh,materialish-progress.git,build.gradle,0
githubwing,ZoomHeader.git,build.gradle,0
wenhuaijun,EasyTagDragView.git,build.gradle,0
cesarferreira,RxPeople.git,build.gradle,0
7heaven,bitmapMesh.git,,0
dynamind,spring-boot-security-oauth2-minimal.git,build.gradle,0
AriesHoo,UIWidget.git,build.gradle,0
marvinlabs,android-intents.git,build.gradle,0
anupcowkur,Android-Wheel-Menu.git,,0
Kyson,WhorlView.git,build.gradle,0
SwiftyWang,FingerColoring-Android.git,build.gradle,0
ZhaoKaiQiang,ParticleLayout.git,build.gradle,0
Schinizer,RxUnfurl.git,build.gradle,0
inmite,android-grid-wichterle.git,pom.xml,12105200494956677564090224706757761806801585573550822341286754581282019078714283267644419179647408071037861420322624691067199926100678140652264775704385546158590469805538321937993078295681647398529920529539219439208726697497043111213144222688067934681460682925357461176400469706431700170955203979027952866845806758115045427163121726061840573397210386868760506180019182024529069376842027672425119541134198850002927302475776
zhoumengkang,netty-restful-server.git,pom.xml,13834514851379109223316123156503322782642660141510591263555169483990826580076575634978715123334984635488175952342176329400168654667498407583888442310327442693646629387532717491408534346081716447750774478264217634960719586924700185213788685051310243620372735564462331462265885955564852860693292887360950025341517068360890693449459195372478228466155494279953351810828477480417336082559880665309950174454426295345732604919808
klnusbaum,rxandroidexamples.git,build.gradle,0
cyndibaby905,TwitterCover-Android.git,build.gradle,0
FilipPudak,ProgressPieView.git,build.gradle,0
recruit-lifestyle,BeerSwipeRefresh.git,build.gradle,0
lorensiuswlt,NewQuickAction3D.git,,0
TheFinestArtist,YouTubePlayerActivity.git,build.gradle,0
huzenan,EasyTransition.git,build.gradle,0
KobeGong,UberSplash.git,build.gradle,0
HotBitmapGG,gank.io-unofficial-android-client.git,build.gradle,0
hpdx,fresco-helper.git,build.gradle,0
kite-sdk,kite.git,pom.xml,16724902205674189924062504736957492253745476925116199367067519710059970618940083766030605507919528641374805455988277210193428732815233088932297951684743506812744933986186353699010107674799358047168734583624847570132337442729454793304443925343512192658037456638334837197239033043896686926697946682497925342363820088093344245248758880155181820207234975112210138433713280356226025060605703385794842009602335665032834274317421547986298021016296751104
Lauzy,PlayPauseView.git,build.gradle,0
blundell,QuickSand.git,build.gradle,0
arvinljw,SocialHelper.git,build.gradle,0
18702953620,DouDemo.git,build.gradle,0
hanks-zyh,500px-guideview.git,build.gradle,0
YiiGuxing,CompositionAvatar.git,build.gradle,0
ManuelPeinado,QuickReturnHeader.git,,0
oktayayr,advancedtextview.git,build.gradle,0
moritz-wundke,android-page-curl.git,,0
guojunyi,PullDownListView.git,,0
jeecgboot,autopoi.git,pom.xml,518471968375899887645938504585603045367834325928809973500418538460026350192540798837306379384601100741357798346729026497592351868738827325528507889030169132335093112739709528875749191849260937828263372491673381329211105762152052943456442763143532480193769610904743114628007500458048106546085949464060740206160845290426471212383336062712955311648442972307818060387346665916199399871140264440475507138353111955668556991609175618844971387659455823872
lkv1988,Trigger.git,build.gradle,0
zhengxiaopeng,Rocko-Android-Demos.git,build.gradle,0
flaxsearch,luwak.git,pom.xml,33717402846639166886910065330470185143921096808789706663769153985013286172263935834204041989972733512636542902040291802919854073842050284797863394955967653708146167885982255976298043378139620447262740747275218714224783231669488824143969238609723549203703282329717115282243083159206408880846479976238885230740037769221686479157403633764952769820928054906102969875171398500673006722246008840646071001797844931042162424204515294256994819546318374961216
mifmif,Generex.git,pom.xml,102757799151662222893440199102385326152902390274406725070534564525754776905947233018526604159916902133749464082408508351755745748851962772717297965580091897015302606890612589642051179819092176601181686086933999890970767944135584987867334822429633673763667146147709303717312253437581436589246415165680412131779162725247044474900273713084974863111280836329125173280969943769107475122642878710458116396989110161587546896183151359357022257410389997256704
XuDaojie,QRCode-Android.git,build.gradle,0
chaychan,PowerfulViewLibrary.git,build.gradle,0
gitgrimbo,android-sliding-menu-demo.git,,0
freezy,android-xbmcremote.git,,0
naman14,WashingMachineView.git,build.gradle,0
Mirkoddd,GoogleDateTimePickers.git,build.gradle,0
richardradics,MVPAndroidBootstrap.git,build.gradle,0
tg123,leetcode.git,,0
medcl,elasticsearch-analysis-mmseg.git,pom.xml,6632317036373954342174567521285482317399872299471408934318943699842837366964071526955757853128691695458290167457933292712421252706657680649978295089258127407681130098039616465271524267846488737904900408830266620010767445425260024698009762601059539370358808696813844917761926700776913242667262784093521384713686805158610360860672
CGmaybe10,FocusSurfaceView.git,build.gradle,0
developer-shivam,Diagonalify.git,build.gradle,0
arierie,pageloader.git,build.gradle,0
imuhao,RxPicker.git,build.gradle,0
liulingfeng,Common.git,build.gradle,0
wisemen-digital,NoInternetDialog.git,build.gradle,0
timols,jenkins-gitlab-merge-request-builder-plugin.git,pom.xml,137010398868882963857920265469847101537203187032542300094046086034339702541262977358035472213222536178332618776544677802340994331802617030289730620773455862687070142520816786189401573092626723060750880692872569667004841388294284386653988673349947727038595159348200576096213474752182367164626369824360342476677214136317717527237727872740610996404210139347916764456036107989540672625036945168647398166601546508931153956276721062676237899138977069268992
ustwo,clockwise.git,build.gradle,0
chandrudotxyz,MaterialDialogSearchView.git,build.gradle,0
lewismcgeary,AndroidtoAppleVectorLogo.git,build.gradle,0
shadowfaxtech,proSwipeButton.git,build.gradle,0
BlacKCaT27,CurrencyEditText.git,build.gradle,0
yulu,Instagram_Filter.git,,0
je-ge,spring-boot.git,pom.xml,8494644730891550778580350277737852595476714479198056352397578595158148781701177677209727978132237797128955035804719447174930914741594025122704806295347777859003763624063409388692249810787882299182849998206244291382341631318100085817640209095214391329430722493892290759168490142618401744956933934678082997129235603207110754308584325000796385584366430959736030211687390777572318001867577456304381032781443160877242868823506861581186991556193695391809536
chengzhicao,ChannelView.git,build.gradle,0
panliming-tuya,NotchScreenTool.git,build.gradle,0
antonkrasov,AndroidProgressLayout.git,build.gradle,0
zhaozhentao,MaterialImageView.git,build.gradle,0
michael-rapp,AndroidBottomSheet.git,build.gradle,0
xiaolongzuo,niubi-job.git,pom.xml,147113786819776402846819695785260853735455255521931146577429209939623332644532181931257158076658314241814352982595463530377372426986189655484831740907669450018307495180111860220013896954279347507406302438023594520776840556124030441165590582118739186709921388397866878919714231859544448712137958765738314040835154296993335127919742289693797385903938619253567972632407004550975045684938814106861360395375441873342961001845748775545931960291989507751390413324352
drawers,SpinnerDatePicker.git,build.gradle,0
amazon-archives,amazon-kinesis-connectors.git,pom.xml,18683452039869135566695714565761966428789905847209963002869960873151903794955712927268366937660480064041665192011411060594863480310185951576254242436344850248676008776990912668629777844198948035930360886309460177009911676011593870945342458101835836642278096201985087107002863716074932176705699427444351403871699706195550195625150499862953030485418583464784158357714999816734112008214800386886927980298569263207131355892800821578105470734867756221819010123038720
mybatis,mybatipse.git,,0
hitherejoe,Constraints.git,build.gradle,0
vladexologija,PinterestListView.git,,0
AnoyiX,grpc-spring-boot-starter.git,pom.xml,583747540894937580046746990522482324220897583486846542907421298523617024526139837662044029275997871402866498083652563659560429112051903969328578145504796985899309480631487359124173784495688488202986029978586112670199357199961270096822679693633474585272908475637588445363388078232266720943481399085948140480323734706139604298708446815300355562128890368932640084415325475034870659203181123621071750124845468024086734448145549190747854327637689060619173768873969664
johnkil,SideNavigation.git,,0
dubboclub,dubbo-plus.git,pom.xml,307917412539161913191109896420117127924519912425061763536198486240586631775852858885475611829713457844505579892383442611649423769041055926014868059203046461723403504106002622464467410453983811583717018135801294012358060933347312561670148629103027336009350887151120776895985725577183903381835295465703453753413541448814908619269072880268122133958561444460682194462210301657198794707288022949012712400354972777184723510927537827031681028748211773558269066394613055488
Devlight,TintLayout.git,build.gradle,0
D-clock,ScratchView.git,build.gradle,0
raphaelbussa,PermissionUtils.git,build.gradle,0
flavienlaurent,spans.git,build.gradle,0
slidenerd,materialtest.git,build.gradle,0
promeG,XLog.git,build.gradle,0
easemob,sdkdemoapp3.0_android.git,build.gradle,0
matthewrkula,AnimatedPathView.git,,0
spring-attic,spring-security-oauth2-boot.git,build.gradle,0
liuguangqiang,IPicker.git,build.gradle,0
ongakuer,ViewPagerHeaderScrollDemo.git,build.gradle,0
yangchong211,YCStatusBar.git,build.gradle,0
react-native-component,react-native-smart-barcode.git,build.gradle,0
damonliuchn,DecompileApk.git,build.gradle,0
kmshack,Android-TopScrollHelper.git,build.gradle,0
dreamlivemeng,UpMarqueeTextView-master.git,build.gradle,0
yuweiguocn,SquareLoading.git,build.gradle,0
dinosaurwithakatana,hacker-news-android.git,build.gradle,0
uin3566,Dota2Helper.git,build.gradle,0
xtTech,app-version.git,pom.xml,19436759410691211178659549017472842649895677518947272089278270179792897001513003094177596688037283017411937488889391718876454998449688395333917155227740050209919994501779666547659315086795741236856830177571543991473371666079396204446390705497238335037185315197253577251273502004609130655051476925683377145624816399913204101689481321419284138639388886799814185623875590715799738062673312591892504063356991209656200435325926628638324050625094905539028660628609499660288
rjsvieira,floatingMenu.git,build.gradle,0
tzutalin,Android-Object-Detection.git,build.gradle,0
kymjs,KJGallery.git,build.gradle,0
jonfhancock,JsonToJava.git,,0
